Make,Model,Vehicle Class,Engine Size (L),Cylinders,Transmission,Fuel Type,Fuel Consumption (Comb) (L/100 km),CO2 Emissions (g/km)
Acura,Integra,Full-size,1.5,4,AV7,Z,7.2,167
Acura,Integra A-SPEC,Full-size,1.5,4,AV7,Z,7.4,172
Acura,Integra A-SPEC,Full-size,1.5,4,M6,Z,7.8,181
Acura,MDX SH-AWD,SUV: Small,3.5,6,AS10,Z,11.2,263
Acura,MDX SH-AWD Type S,SUV: Standard,3,6,AS10,Z,12.4,291
Acura,RDX SH-AWD,SUV: Small,2,4,AS10,Z,9.9,232
Acura,RDX SH-AWD A-SPEC,SUV: Small,2,4,AS10,Z,10.3,242
Acura,TLX SH-AWD,Compact,2,4,AS10,Z,9.8,230
Acura,TLX SH-AWD A-SPEC,Compact,2,4,AS10,Z,9.8,231
Acura,TLX Type S,Compact,3,6,AS10,Z,11,256
Alfa Romeo,Giulia,Mid-size,2,4,A8,Z,8.7,205
Alfa Romeo,Giulia AWD,Mid-size,2,4,A8,Z,9.2,217
Alfa Romeo,Giulia Quadrifoglio,Mid-size,2.9,6,A8,Z,11.6,271
Alfa Romeo,Stelvio,SUV: Small,2,4,A8,Z,9.3,218
Alfa Romeo,Stelvio AWD,SUV: Small,2,4,A8,Z,9.6,226
Alfa Romeo,Stelvio AWD Quadrifoglio,SUV: Small,2.9,6,A8,Z,12.3,288
Alfa Romeo,Tonale AWD,SUV: Small,2,4,A9,X,9.8,231
Aston Martin,DB11 V8,Minicompact,4,8,A8,Z,11.5,271
Aston Martin,DB11 V12,Minicompact,5.2,12,A8,Z,13.8,324
Aston Martin,DBS V12,Minicompact,5.2,12,A8,Z,13.8,324
Aston Martin,DBX V8,SUV: Standard,4,8,A9,Z,14.6,343
Aston Martin,DBX707,SUV: Standard,4,8,A9,Z,14,329
Aston Martin,Vantage V8,Two-seater,4,8,A8,Z,11.5,270
Aston Martin,V12 Vantage,Two-seater,5.2,12,A8,Z,14.3,337
Audi,A3 40 TFSI quattro,Subcompact,2,4,AM7,X,7.9,183
Audi,A4 Sedan 45 TFSI quattro,Compact,2,4,AM7,Z,8.7,203
Audi,A4 allroad 45 TFSI quattro,Station wagon: Small,2,4,AM7,Z,9.1,214
Audi,A5 Cabriolet 45 TFSI quattro,Subcompact,2,4,AM7,Z,8.9,208
Audi,A5 Coup� 45 TFSI quattro,Subcompact,2,4,AM7,Z,8.7,203
Audi,A5 Sportback 45 TFSI quattro,Mid-size,2,4,AM7,Z,8.7,203
Audi,A6 45 TFSI quattro,Mid-size,2,4,AM7,Z,8.9,207
Audi,A6 55 TFSI quattro,Mid-size,3,6,AM7,Z,9.6,224
Audi,A6 allroad 55 TFSI quattro,Station wagon: Mid-size,3,6,AM7,Z,9.6,224
Audi,A7 Sportback 55 TFSI quattro,Mid-size,3,6,AM7,Z,9.6,224
Audi,A8 L Sedan 55 TFSI quattro,Full-size,3,6,AS8,Z,10.6,247
Audi,Q3 40 TFSI quattro,SUV: Small,2,4,AS8,X,9.6,224
Audi,Q3 45 TFSI quattro,SUV: Small,2,4,AS8,X,10,233
Audi,Q5 40 TFSI quattro,SUV: Small,2,4,AM7,Z,9.3,217
Audi,Q5 45 TFSI quattro,SUV: Small,2,4,AM7,Z,9.5,223
Audi,Q5 Sportback 45 TFSI quattro,SUV: Small,2,4,AM7,Z,9.5,223
Audi,Q7 45 TFSI quattro,SUV: Standard,2,4,AS8,Z,11,257
Audi,Q7 55 TFSI quattro,SUV: Standard,3,6,AS8,Z,12,281
Audi,Q8 55 TFSI quattro,SUV: Standard,3,6,AS8,Z,11.7,273
Audi,R8 Coup� Performance,Two-seater,5.2,10,AM7,Z,13.7,320
Audi,R8 Coup� Performance quattro,Two-seater,5.2,10,AM7,Z,15.5,361
Audi,R8 Spyder Performance,Two-seater,5.2,10,AM7,Z,13.7,320
